,Date,Country,Confirmed,Recovered,Deaths
66,2020-01-22,Germany,0.0,0.0,0.0
85,2020-01-22,Italy,0.0,0.0,0.0
161,2020-01-22,Sweden,0.0,0.0,0.0
173,2020-01-22,US,0.0030352119521741775,0.0,0.0
177,2020-01-22,United Kingdom,0.0,0.0,0.0
253,2020-01-23,Germany,0.0,0.0,0.0
272,2020-01-23,Italy,0.0,0.0,0.0
348,2020-01-23,Sweden,0.0,0.0,0.0
360,2020-01-23,US,0.0030352119521741775,0.0,0.0
364,2020-01-23,United Kingdom,0.0,0.0,0.0
440,2020-01-24,Germany,0.0,0.0,0.0
459,2020-01-24,Italy,0.0,0.0,0.0
535,2020-01-24,Sweden,0.0,0.0,0.0
547,2020-01-24,US,0.006070423904348355,0.0,0.0
551,2020-01-24,United Kingdom,0.0,0.0,0.0
627,2020-01-25,Germany,0.0,0.0,0.0
646,2020-01-25,Italy,0.0,0.0,0.0
722,2020-01-25,Sweden,0.0,0.0,0.0
734,2020-01-25,US,0.006070423904348355,0.0,0.0
738,2020-01-25,United Kingdom,0.0,0.0,0.0
814,2020-01-26,Germany,0.0,0.0,0.0
833,2020-01-26,Italy,0.0,0.0,0.0
909,2020-01-26,Sweden,0.0,0.0,0.0
921,2020-01-26,US,0.015176059760870888,0.0,0.0
925,2020-01-26,United Kingdom,0.0,0.0,0.0
1001,2020-01-27,Germany,0.011935460904830872,0.0,0.0
1020,2020-01-27,Italy,0.0,0.0,0.0
1096,2020-01-27,Sweden,0.0,0.0,0.0
1108,2020-01-27,US,0.015176059760870888,0.0,0.0
1112,2020-01-27,United Kingdom,0.0,0.0,0.0
1188,2020-01-28,Germany,0.04774184361932349,0.0,0.0
1207,2020-01-28,Italy,0.0,0.0,0.0
1283,2020-01-28,Sweden,0.0,0.0,0.0
1295,2020-01-28,US,0.015176059760870888,0.0,0.0
1299,2020-01-28,United Kingdom,0.0,0.0,0.0
1375,2020-01-29,Germany,0.04774184361932349,0.0,0.0
1394,2020-01-29,Italy,0.0,0.0,0.0
1470,2020-01-29,Sweden,0.0,0.0,0.0
1482,2020-01-29,US,0.015176059760870888,0.0,0.0
1486,2020-01-29,United Kingdom,0.0,0.0,0.0
1562,2020-01-30,Germany,0.04774184361932349,0.0,0.0
1581,2020-01-30,Italy,0.0,0.0,0.0
1657,2020-01-30,Sweden,0.0,0.0,0.0
1669,2020-01-30,US,0.015176059760870888,0.0,0.0
1673,2020-01-30,United Kingdom,0.0,0.0,0.0
1749,2020-01-31,Germany,0.05967730452415436,0.0,0.0
1768,2020-01-31,Italy,0.0330787219996061,0.0,0.0
1844,2020-01-31,Sweden,0.09901705766852456,0.0,0.0
1856,2020-01-31,US,0.02124648366521924,0.0,0.0
1860,2020-01-31,United Kingdom,0.029461153730598138,0.0,0.0
1936,2020-02-01,Germany,0.09548368723864697,0.0,0.0
1955,2020-02-01,Italy,0.0330787219996061,0.0,0.0
2031,2020-02-01,Sweden,0.09901705766852456,0.0,0.0
2043,2020-02-01,US,0.02428169561739342,0.0,0.0
2047,2020-02-01,United Kingdom,0.029461153730598138,0.0,0.0
2123,2020-02-02,Germany,0.11935460904830872,0.0,0.0
2142,2020-02-02,Italy,0.0330787219996061,0.0,0.0
2218,2020-02-02,Sweden,0.09901705766852456,0.0,0.0
2230,2020-02-02,US,0.02428169561739342,0.0,0.0
2234,2020-02-02,United Kingdom,0.029461153730598138,0.0,0.0
2310,2020-02-03,Germany,0.14322553085797046,0.0,0.0
2329,2020-02-03,Italy,0.0330787219996061,0.0,0.0
2405,2020-02-03,Sweden,0.09901705766852456,0.0,0.0
2417,2020-02-03,US,0.033387331473915954,0.0,0.0
2421,2020-02-03,United Kingdom,0.029461153730598138,0.0,0.0
2497,2020-02-04,Germany,0.14322553085797046,0.0,0.0
2516,2020-02-04,Italy,0.0330787219996061,0.0,0.0
2592,2020-02-04,Sweden,0.09901705766852456,0.0,0.0
2604,2020-02-04,US,0.033387331473915954,0.0,0.0
2608,2020-02-04,United Kingdom,0.029461153730598138,0.0,0.0
2684,2020-02-05,Germany,0.14322553085797046,0.0,0.0
2703,2020-02-05,Italy,0.0330787219996061,0.0,0.0
2779,2020-02-05,Sweden,0.09901705766852456,0.0,0.0
2791,2020-02-05,US,0.033387331473915954,0.0,0.0
2795,2020-02-05,United Kingdom,0.029461153730598138,0.0,0.0
2871,2020-02-06,Germany,0.14322553085797046,0.0,0.0
2890,2020-02-06,Italy,0.0330787219996061,0.0,0.0
2966,2020-02-06,Sweden,0.09901705766852456,0.0,0.0
2978,2020-02-06,US,0.033387331473915954,0.0,0.0
2982,2020-02-06,United Kingdom,0.029461153730598138,0.0,0.0
3058,2020-02-07,Germany,0.15516099176280132,0.0,0.0
3077,2020-02-07,Italy,0.04961808299940915,0.0,0.0
3153,2020-02-07,Sweden,0.09901705766852456,0.0,0.0
3165,2020-02-07,US,0.033387331473915954,0.0,0.0
3169,2020-02-07,United Kingdom,0.044191730595897205,0.0,0.0
3245,2020-02-08,Germany,0.15516099176280132,0.0,0.0
3264,2020-02-08,Italy,0.04961808299940915,0.0,0.0
3340,2020-02-08,Sweden,0.09901705766852456,0.0,0.0
3352,2020-02-08,US,0.033387331473915954,0.0,0.0
3356,2020-02-08,United Kingdom,0.044191730595897205,0.0,0.0
3432,2020-02-09,Germany,0.1670964526676322,0.0,0.0
3451,2020-02-09,Italy,0.04961808299940915,0.0,0.0
3527,2020-02-09,Sweden,0.09901705766852456,0.0,0.0
3539,2020-02-09,US,0.033387331473915954,0.009105635856522533,0.0
3543,2020-02-09,United Kingdom,0.044191730595897205,0.0,0.0
3619,2020-02-10,Germany,0.1670964526676322,0.0,0.0
3638,2020-02-10,Italy,0.04961808299940915,0.0,0.0
3714,2020-02-10,Sweden,0.09901705766852456,0.0,0.0
3726,2020-02-10,US,0.033387331473915954,0.009105635856522533,0.0
3730,2020-02-10,United Kingdom,0.11784461492239255,0.0,0.0
3806,2020-02-11,Germany,0.19096737447729395,0.0,0.0
3825,2020-02-11,Italy,0.04961808299940915,0.0,0.0
3901,2020-02-11,Sweden,0.09901705766852456,0.0,0.0
3913,2020-02-11,US,0.03642254342609013,0.009105635856522533,0.0
3917,2020-02-11,United Kingdom,0.11784461492239255,0.0,0.0
3993,2020-02-12,Germany,0.19096737447729395,0.0,0.0
4012,2020-02-12,Italy,0.04961808299940915,0.0,0.0
4088,2020-02-12,Sweden,0.09901705766852456,0.0,0.0
4100,2020-02-12,US,0.03642254342609013,0.009105635856522533,0.0
4104,2020-02-12,United Kingdom,0.13257519178769162,0.014730576865299069,0.0
4180,2020-02-13,Germany,0.19096737447729395,0.011935460904830872,0.0
4199,2020-02-13,Italy,0.04961808299940915,0.0,0.0
4275,2020-02-13,Sweden,0.09901705766852456,0.0,0.0
4287,2020-02-13,US,0.039457755378264306,0.009105635856522533,0.0
4291,2020-02-13,United Kingdom,0.13257519178769162,0.014730576865299069,0.0
4367,2020-02-14,Germany,0.19096737447729395,0.011935460904830872,0.0
4386,2020-02-14,Italy,0.04961808299940915,0.0,0.0
4462,2020-02-14,Sweden,0.09901705766852456,0.0,0.0
4474,2020-02-14,US,0.039457755378264306,0.009105635856522533,0.0
4478,2020-02-14,United Kingdom,0.13257519178769162,0.014730576865299069,0.0
4554,2020-02-15,Germany,0.19096737447729395,0.011935460904830872,0.0
4573,2020-02-15,Italy,0.04961808299940915,0.0,0.0
4649,2020-02-15,Sweden,0.09901705766852456,0.0,0.0
4661,2020-02-15,US,0.039457755378264306,0.009105635856522533,0.0
4665,2020-02-15,United Kingdom,0.13257519178769162,0.014730576865299069,0.0
4741,2020-02-16,Germany,0.19096737447729395,0.011935460904830872,0.0
4760,2020-02-16,Italy,0.04961808299940915,0.0,0.0
4836,2020-02-16,Sweden,0.09901705766852456,0.0,0.0
4848,2020-02-16,US,0.039457755378264306,0.009105635856522533,0.0
4852,2020-02-16,United Kingdom,0.13257519178769162,0.11784461492239255,0.0
4928,2020-02-17,Germany,0.19096737447729395,0.011935460904830872,0.0
4947,2020-02-17,Italy,0.04961808299940915,0.0,0.0
5023,2020-02-17,Sweden,0.09901705766852456,0.0,0.0
5035,2020-02-17,US,0.039457755378264306,0.009105635856522533,0.0
5039,2020-02-17,United Kingdom,0.13257519178769162,0.11784461492239255,0.0
5115,2020-02-18,Germany,0.19096737447729395,0.14322553085797046,0.0
5134,2020-02-18,Italy,0.04961808299940915,0.0,0.0
5210,2020-02-18,Sweden,0.09901705766852456,0.0,0.0
5222,2020-02-18,US,0.039457755378264306,0.009105635856522533,0.0
5226,2020-02-18,United Kingdom,0.13257519178769162,0.11784461492239255,0.0
5302,2020-02-19,Germany,0.19096737447729395,0.14322553085797046,0.0
5321,2020-02-19,Italy,0.04961808299940915,0.0,0.0
5397,2020-02-19,Sweden,0.09901705766852456,0.0,0.0
5409,2020-02-19,US,0.039457755378264306,0.009105635856522533,0.0
5413,2020-02-19,United Kingdom,0.13257519178769162,0.11784461492239255,0.0
5489,2020-02-20,Germany,0.19096737447729395,0.14322553085797046,0.0
5508,2020-02-20,Italy,0.04961808299940915,0.0,0.0
5584,2020-02-20,Sweden,0.09901705766852456,0.0,0.0
5596,2020-02-20,US,0.039457755378264306,0.009105635856522533,0.0
5600,2020-02-20,United Kingdom,0.13257519178769162,0.11784461492239255,0.0
5676,2020-02-21,Germany,0.19096737447729395,0.1670964526676322,0.0
